country,weeknum,numinvoices,totalquantity,invoicevalue
Spain,49,1,67,174.72
Germany,48,11,1795,3309.75
Lithuania,48,3,622,1598.06
Germany,49,12,1852,4521.39
Bahrain,51,1,54,205.74
Iceland,49,1,319,711.79
India,51,5,95,276.84
Australia,50,2,133,387.95
Italy,49,1,-2,-17.0
India,49,5,1280,3284.1
Spain,50,2,400,1049.01
United Kingdom,51,200,28782,75103.46
Norway,49,1,1730,1867.98
United Kingdom,48,478,68865,166116.72
France,51,5,847,1702.87
Portugal,49,4,726,1844.67
Spain,48,1,400,620.0
India,48,7,2822,3147.23
Germany,50,15,1973,5065.79
Italy,51,1,131,383.7
France,49,9,2303,4527.01
India,50,5,1184,2321.78
Portugal,48,1,65,131.8
Denmark,49,1,454,1281.5
Germany,51,5,1103,1665.91
Japan,49,2,3897,7384.99
Poland,48,1,140,248.16
Netherlands,48,1,97,192.6
Channel Islands,49,1,80,363.53
Cyprus,50,1,917,1590.82
Sweden,50,3,3714,2646.3
Norway,48,1,1852,1919.14
Netherlands,51,2,6714,8591.88
Belgium,48,1,528,346.1
Australia,48,1,107,358.25
United Kingdom,49,677,105498,244020.45
France,48,4,1299,2808.16
Belgium,50,2,285,625.16
Austria,50,2,3,257.04
France,50,6,529,537.32
Switzerland,51,1,604,1001.52
Japan,48,1,196,320.08
Lithuania,49,1,30,63.0
Portugal,50,3,154,403.65
Israel,50,1,-56,-227.44
Australia,49,1,214,258.9
United Kingdom,50,530,94956,191501.99
Italy,48,1,164,427.8
Switzerland,48,1,110,303.4
Finland,50,1,1254,892.8
Belgium,51,2,942,838.65
